text,font_size,is_bold,is_italic,relative_font_size,x_position_normalized,is_centered,space_below,text_length,is_all_caps,starts_with_numbering,line_height,span_count,label
"3. Overview of the Foundation Level Extension – Agile Tester Syllabus",14.0,1,0,1.4,0.207,0,14.0,67,0,1,14.0,1,H1
"3.1 Business Outcomes",12.0,1,0,1.2,0.207,0,14.0,19,0,1,12.0,1,H2
"3.2 Content",12.0,1,0,1.2,0.207,0,28.0,9,0,1,12.0,1,H2
"4. References",14.0,1,0,1.4,0.207,0,41.0,12,0,1,14.0,1,H1
"4.1 Trademarks",12.0,1,0,1.2,0.207,0,14.0,12,0,1,12.0,1,H2
"4.2 Documents and Web Sites",12.0,1,0,1.2,0.207,0,28.0,27,0,1,12.0,1,H2
"RFP: Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library",20.0,1,0,1.63,0.111,0,12.0,124,0,0,49.0,3,Title
"Ontario’s Digital Library",18.0,1,0,1.47,0.111,0,14.0,25,0,0,18.0,1,H1
"A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy",14.0,1,0,1.14,0.111,0,14.0,85,0,0,14.0,1,H1
"Summary",14.0,1,0,1.14,0.111,0,14.0,7,0,0,14.0,1,H2
"Timeline:",12.0,1,0,0.98,0.111,0,14.0,9,0,0,12.0,1,H3
"Background",14.0,1,0,1.14,0.111,0,14.0,10,0,0,14.0,1,H2
"Equitable access for all Ontarians:",12.0,1,0,0.98,0.111,0,14.0,34,0,0,12.0,1,H3
"Shared decision-making and accountability:",12.0,1,0,0.98,0.111,0,14.0,42,0,0,12.0,1,H3
"Shared governance structure:",12.0,1,0,0.98,0.111,0,28,0,0,12.0,1,H3
"Shared funding:",12.0,1,0,0.98,0.111,0,51.0,15,0,0,12.0,1,H3
"Local points of entry:",12.0,1,0,0.98,0.111,0,14.0,22,0,0,12.0,1,H3
"Access:",12.0,1,0,0.98,0.142,0,14.0,7,0,0,12.0,1,H3
"Guidance and Advice:",12.0,1,0,0.98,0.142,0,14.0,20,0,0,12.0,1,H3
"Training:",12.0,1,0,0.98,0.142,0,14.0,9,0,0,12.0,1,H3
"Provincial Purchasing & Licensing:",12.0,1,0,0.98,0.142,0,14.0,34,0,0,12.0,1,H3
"Technological Support:",12.0,1,0,0.98,0.142,0,27.0,22,0,0,12.0,1,H3
"What could the ODL really mean?",12.0,1,0,0.98,0.111,0,14.0,32,0,0,12.0,1,H3
"For each Ontario citizen it could mean:",12.0,0,0,0.98,0.142,0,14.0,38,0,0,12.0,1,H4
"For each Ontario student it could mean:",12.0,0,0,0.98,0.142,0,57.0,39,0,0,12.0,1,H4
"For each Ontario library it could mean:",12.0,0,0,0.98,0.142,0,14.0,38,0,0,12.0,1,H4
"For the Ontario government it could mean:",12.0,0,0,0.98,0.142,0,43.0,41,0,0,12.0,1,H4
"The Business Plan to be Developed",14.0,1,0,1.14,0.111,0,14.0,33,0,0,14.0,1,H2
"Milestones",14.0,1,0,1.14,0.111,0,14.0,10,0,0,14.0,1,H3
"Approach and Specific Proposal Requirements",14.0,1,0,1.14,0.111,0,14.0,43,0,0,14.0,1,H2
"Evaluation and Awarding of Contract",14.0,1,0,1.14,0.111,0,14.0,36,0,0,14.0,1,H2
"Appendix A: ODL Envisioned Phases & Funding",14.0,1,0,1.14,0.111,0,14.0,46,0,0,14.0,1,H2
"Phase I: Business Planning",12.0,1,0,0.98,0.111,0,14.0,26,0,0,12.0,1,H3
"Phase II: Implementing and Transitioning",12.0,1,0,0.98,0.111,0,14.0,38,0,0,12.0,1,H3
"Phase III: Operating and Growing the ODL",12.0,1,0,0.98,0.111,0,42.0,39,0,0,12.0,1,H3
"Appendix B: ODL Steering Committee Terms of Reference",14.0,1,0,1.14,0.111,0,14.0,53,0,0,14.0,1,H2
"1. Preamble",12.0,1,0,0.98,0.111,0,14.0,11,0,1,12.0,1,H3
"2. Terms of Reference",12.0,1,0,0.98,0.111,0,28.0,20,0,1,12.0,1,H3
"3. Membership",12.0,1,0,0.98,0.111,0,56.0,12,0,1,12.0,1,H3
"4. Appointment Criteria and Process",12.0,1,0,0.98,0.111,0,41.0,35,0,1,12.0,1,H3
"5. Term",12.0,1,0,0.98,0.111,0,14.0,6,0,1,12.0,1,H3
"6. Chair",12.0,1,0,0.98,0.111,0,14.0,7,0,1,12.0,1,H3
"7. Meetings",12.0,1,0,0.98,0.111,0,14.0,9,0,1,12.0,1,H3
"8. Lines of Accountability and Communication",12.0,1,0,0.98,0.111,0,14.0,44,0,1,12.0,1,H3
"9. Financial and Administrative Policies",12.0,1,0,0.98,0.111,0,42.0,40,0,1,12.0,1,H3
"Appendix C: ODL’s Envisioned Electronic Resources",14.0,1,0,1.14,0.111,0,14.0,50,0,0,14.0,1,H2
"SICA Parsippany -Troy Hills STEM Pathways",18.0,0,0,1.5,0.22,0,14.0,42,0,0,18.0,1,Title
"PATHWAY OPTIONS",12.0,1,0,1.0,0.56,1,12.0,15,1,0,12.0,1,H1
"HOPE TO SEE YOU THERE!",12.0,1,0,1.0,0.39,1,12.0,22,1,0,12.0,1,H1
Application form for grant of LTC advance,11.670000076293945,1,0,1.17,0.336,0,0.0,41,0,0,116.63970947265625,1,Title
1.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,145.6796875,1,Body
Name of the Government Servant,9.744400024414062,0,0,0.97,0.161,0,0.0,30,0,0,142.73687744140625,1,Body
2.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,163.7945556640625,1,Body
Designation,9.744400024414062,0,0,0.97,0.161,0,0.0,11,0,0,160.79327392578125,1,Body
3.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,190.66961669921875,1,Body
Date of entering the Central Government,9.744400024414062,0,0,0.97,0.161,0,0.0,39,0,0,178.90814208984375,1,Body
Service,9.744400024414062,0,0,0.97,0.161,0,0.0,7,0,0,196.487060546875,1,Body
4.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,217.544677734375,1,Body
PAY + SI + NPA,9.744400024414062,0,0,0.97,0.161,0,0.0,14,1,0,214.60186767578125,1,Body
5.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,235.6595458984375,1,Body
Whether permanent or temporary,9.744400024414062,0,0,0.97,0.161,0,0.0,30,0,0,232.65826416015625,1,Body
6.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,250.84130859375,1,Body
Home Town as recorded in the Service Book,9.744400024414062,0,0,0.97,0.161,0,0.0,41,0,0,250.84130859375,1,Body
7.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,274.7833251953125,1,Body
Whether wife / husband is employed and if,9.744400024414062,0,0,0.97,0.161,0,0.0,41,0,0,263.0218505859375,1,Body
so whether entitled to LTC,9.744400024414062,0,0,0.97,0.161,0,0.0,26,0,0,280.60076904296875,1,Body
8.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,319.3055419921875,1,Body
Whether the concession is to be availed for,9.744400024414062,0,0,0.97,0.161,0,0.0,43,0,0,298.725341796875,1,Body
visiting home town and if so block for which,9.744400024414062,0,0,0.97,0.161,0,0.0,44,0,0,316.30426025390625,1,Body
LTC is to be availed.,9.744400024414062,0,0,0.97,0.161,0,0.0,21,0,0,333.9416198730469,1,Body
9.,9.744400024414062,1,0,0.97,0.118,0,0.0,2,0,1,372.5781555175781,1,Body
(a) If the concession is to visit anywhere in,9.744400024414062,0,0,0.97,0.161,0,0.0,45,0,0,351.99798583984375,1,Body
"India, the place to be visited.",9.744400024414062,0,0,0.97,0.161,0,0.0,31,0,0,369.6353454589844,1,Body
(b) Block for which to be availed.,9.744400024414062,0,0,0.97,0.161,0,0.0,34,0,0,387.2142333984375,1,Body
10.,9.744400024414062,1,0,0.97,0.118,0,0.0,3,0,1,425.9189758300781,1,Body
Single,9.744400024414062,0,0,0.97,0.161,0,0.0,6,0,0,405.33880615234375,1,Body
rail,9.744400024414062,0,0,0.97,0.229,0,0.0,4,0,0,405.33880615234375,1,Body
fare/bus,9.744400024414062,0,0,0.97,0.275,0,0.0,8,0,0,405.33880615234375,1,Body
fare,9.744400024414062,0,0,0.97,0.359,0,0.0,4,0,0,405.33880615234375,1,Body
from,9.744400024414062,0,0,0.97,0.411,0,0.0,4,0,0,405.33880615234375,1,Body
the,9.744400024414062,0,0,0.97,0.469,1,0.0,3,0,0,405.33880615234375,1,Body
headquarters to home town/place of visit by,9.744400024414062,0,0,0.97,0.161,0,0.0,43,0,0,422.9176940917969,1,Body
shortest route.,9.744400024414062,0,0,0.97,0.161,0,0.0,15,0,0,440.49658203125,1,Body
11.,9.744400024414062,1,0,0.97,0.118,0,0.0,3,0,1,508.3565673828125,1,Body
Persons in respect of whom LTC is proposed to be availed.,9.744400024414062,0,0,0.97,0.161,0,0.0,57,0,0,458.67962646484375,1,Body
S.No,9.744400024414062,1,0,0.97,0.161,0,0.0,4,0,0,473.8029479980469,1,Body
Name,9.744400024414062,1,0,0.97,0.355,0,0.0,4,0,0,473.8029479980469,1,Body
Age,9.744400024414062,1,0,0.97,0.577,0,0.0,3,0,0,473.8029479980469,1,Body
Relationship,9.744400024414062,1,0,0.97,0.747,0,0.0,12,0,0,473.8029479980469,1,Body
1.,9.744400024414062,1,0,0.97,0.174,0,0.0,2,0,1,485.98345947265625,1,Body
2.,9.744400024414062,1,0,0.97,0.174,0,0.0,2,0,1,498.222412109375,1,Body
3.,9.744400024414062,1,0,0.97,0.174,0,0.0,2,0,1,510.4029235839844,1,Body
4.,9.744400024414062,1,0,0.97,0.174,0,0.0,2,0,1,522.7003173828125,1,Body
5.,9.744400024414062,1,0,0.97,0.174,0,0.0,2,0,1,539.1976318359375,1,Body
6.,9.744400024414062,1,0,0.97,0.174,0,0.0,2,0,1,551.4365844726562,1,Body
12.,9.744400024414062,1,0,0.97,0.118,0,0.0,3,0,1,576.7525634765625,1,Body
Amount of advance required.,9.744400024414062,0,1,0.97,0.161,0,0.0,27,0,0,570.8766479492188,1,Body
Rs.,9.744400024414062,0,0,0.97,0.512,1,0.0,3,0,0,570.8766479492188,1,Body
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,9.744400024414062,0,0,0.97,0.177,0,0.0,99,0,0,606.5801391601562,1,Body
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.744400024414062,0,0,0.97,0.118,0,0.0,99,0,0,618.2831420898438,1,Body
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.744400024414062,0,0,0.97,0.177,0,0.0,109,0,0,641.80615234375,1,Body
"advance, I undertake to refund the entire advance in one lump sum.",9.744400024414062,0,0,0.97,0.118,0,0.0,66,0,0,653.567626953125,1,Body
Date,9.744400024414062,1,0,0.97,0.118,0,0.0,4,0,0,688.7254028320312,1,Body
Signature of Government Servant.,9.744400024414062,1,0,0.97,0.677,0,0.0,32,0,0,700.4869384765625,1,Body
Overview,24.0,1,0,2.4,0.413,0,0.0,8,0,0,211.34002685546875,1,Body
Foundation Level Extensions,24.0,1,0,2.4,0.228,0,0.0,27,0,0,266.56402587890625,1,Body
Version 1.0,12.0,0,0,1.2,0.45,1,0.0,11,0,0,393.2900085449219,1,Body
International Software Testing Qualifications Board,18.0,0,0,1.8,0.169,0,0.0,51,0,0,481.989990234375,1,Body
Copyright Notice,9.960000038146973,0,0,1.0,0.116,0,0.0,16,0,0,661.2999877929688,1,Body
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.960000038146973,0,0,1.0,0.116,0,0.0,93,0,0,672.82373046875,1,Body
International,9.960000038146973,0,0,1.0,0.732,0,0.0,13,0,0,47.6400146484375,1,Body
Overview,12.0,0,0,1.2,0.122,0,0.0,8,0,0,52.44000244140625,1,Body
Software Testing,9.960000038146973,0,0,1.0,0.716,0,0.0,16,0,0,59.15997314453125,1,Body
Foundation Level Extension –,9.960000038146973,0,0,1.0,0.122,0,0.0,28,0,0,67.44000244140625,1,Body
Agile Tester,9.960000038146973,0,0,1.0,0.342,0,0.0,12,0,0,67.44000244140625,1,Body
Qualifications,9.960000038146973,0,0,1.0,0.704,0,0.0,14,0,0,70.67999267578125,1,Body
Board,9.960000038146973,0,0,1.0,0.806,0,0.0,5,0,0,70.67999267578125,1,Body
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000038146973,0,0,1.0,0.116,0,0.0,92,0,0,129.3800048828125,1,Body
Version 2014,9.960000038146973,0,0,1.0,0.125,0,0.0,12,0,0,728.0357666015625,1,Body
Page 2 of 12,9.960000038146973,0,0,1.0,0.441,0,0.0,12,0,0,728.0357666015625,1,Body
"May 31, 2014",9.960000038146973,0,0,1.0,0.771,0,0.0,12,0,0,728.0357666015625,1,Body
© International Software Testing Qualifications Board,6.0,0,0,0.6,0.125,0,0.0,53,0,0,742.3200073242188,1,Body
Qualifications Board,9.960000038146973,0,0,1.0,0.704,0,0.0,20,0,0,70.67999267578125,1,Body
International,9.960000038146973,0,0,1.0,0.732,0,0.0,13,0,0,47.6400146484375,1,Body
Overview,12.0,0,0,1.2,0.122,0,0.0,8,0,0,52.44000244140625,1,Body
Software Testing,9.960000038146973,0,0,1.0,0.716,0,0.0,16,0,0,59.15997314453125,1,Body
Foundation Level Extension –,9.960000038146973,0,0,1.0,0.122,0,0.0,28,0,0,67.44000244140625,1,Body
Agile Tester,9.960000038146973,0,0,1.0,0.342,0,0.0,12,0,0,67.44000244140625,1,Body
Revision History,15.960000038146973,1,0,1.6,0.116,0,0.0,16,0,0,123.3800048828125,1,H1
Version,9.960000038146973,1,0,1.0,0.122,0,0.0,7,0,0,148.46002197265625,1,Body
Date,9.960000038146973,1,0,1.0,0.239,0,0.0,4,0,0,148.46002197265625,1,Body
Remarks,9.960000038146973,1,0,1.0,0.455,1,0.0,7,0,0,148.46002197265625,1,Body
0.1,9.960000038146973,0,0,1.0,0.122,0,0.0,3,0,1,160.82000732421875,1,Body
18 JUNE 2013,9.960000038146973,0,0,1.0,0.239,0,0.0,12,1,0,160.82000732421875,1,Body
Initial version,9.960000038146973,0,0,1.0,0.455,1,0.0,15,0,0,160.82000732421875,1,Body
0.2,9.960000038146973,0,0,1.0,0.122,0,0.0,3,0,1,173.05999755859375,1,Body
23 JULY 2013,9.960000038146973,0,0,1.0,0.239,0,0.0,12,1,0,173.05999755859375,1,Body
WG reviewed and confirmed,9.960000038146973,0,0,1.0,0.455,1,0.0,25,0,0,173.05999755859375,1,Body
0.3,9.960000038146973,0,0,1.0,0.122,0,0.0,3,0,1,185.29998779296875,1,Body
6 NOV 2013,9.960000038146973,0,0,1.0,0.239,0,0.0,10,1,0,185.29998779296875,1,Body
amended population and diagram,9.960000038146973,0,0,1.0,0.455,1,0.0,30,0,0,185.29998779296875,1,Body
0.7,9.960000038146973,0,0,1.0,0.122,0,0.0,3,0,1,197.53997802734375,1,Body
11 DEC 2013,9.960000038146973,0,0,1.0,0.239,0,0.0,11,1,0,197.53997802734375,1,Body
Amended Business Outcomes and Chapters matching,9.960000038146973,0,0,1.0,0.455,1,0.0,47,0,0,197.53997802734375,1,Body
0.8,9.960000038146973,0,0,1.0,0.122,0,0.0,3,0,1,209.780029296875,1,Body
20 DEC 2013,9.960000038146973,0,0,1.0,0.239,0,0.0,11,1,0,209.780029296875,1,Body
Working group updates on 0.7,9.960000038146973,0,0,1.0,0.455,1,0.0,28,0,0,209.780029296875,1,Body
1.0,9.960000038146973,0,0,1.0,0.122,0,0.0,3,0,1,222.02001953125,1,Body
31 MAY 2014,9.960000038146973,0,0,1.0,0.239,0,0.0,11,1,0,222.02001953125,1,Body
GA release for Agile Extension,9.960000038146973,0,0,1.0,0.455,1,0.0,30,0,0,222.02001953125,1,Body
Version 2014,9.960000038146973,0,0,1.0,0.125,0,0.0,12,0,0,728.0399780273438,1,Body
Page 3 of 12,9.960000038146973,0,0,1.0,0.441,0,0.0,12,0,0,728.0399780273438,1,Body
"May 31, 2014",9.960000038146973,0,0,1.0,0.771,0,0.0,12,0,0,728.0399780273438,1,Body
© International Software Testing Qualifications Board,6.0,0,0,0.6,0.125,0,0.0,53,0,0,742.3200073242188,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.248,0,0.0,138,0,0,153.739990234375,1,Body
........................................................................................................................................,9.960000038146973,1,0,1.0,0.257,0,0.0,136,0,0,171.14013671875,1,Body
............................................................................,9.960000038146973,1,0,1.0,0.528,1,0.0,76,0,0,188.6597900390625,1,Body
...............................................................,9.960000038146973,1,0,1.0,0.586,0,0.0,63,0,0,206.179443359375,1,Body
.....................................................................................................................,9.960000038146973,0,0,1.0,0.32,0,0.0,117,0,0,223.818603515625,1,Body
............................................................................................................,9.960000038146973,0,0,1.0,0.362,0,0.0,108,0,0,235.34234619140625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,246.77642822265625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,258.3001708984375,1,Body
...................................................................................................,9.960000038146973,0,0,1.0,0.405,0,0.0,99,0,0,269.82391357421875,1,Body
......................................................................................................................,9.960000038146973,0,0,1.0,0.315,0,0.0,118,0,0,281.3476257324219,1,Body
.........................................,9.960000038146973,1,0,1.0,0.677,0,0.0,41,0,0,298.74774169921875,1,Body
.................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,113,0,0,316.38690185546875,1,Body
....................................................................................................................................,9.960000038146973,0,0,1.0,0.24,0,0.0,132,0,0,327.7911071777344,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.239,0,0.0,138,0,0,345.19122314453125,1,Body
.............................................................................................................................,9.960000038146973,0,0,1.0,0.273,0,0.0,125,0,0,362.83038330078125,1,Body
.......................................................................................................,9.960000038146973,0,0,1.0,0.377,0,0.0,103,0,0,374.3540954589844,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.248,0,0.0,138,0,0,153.739990234375,1,Body
........................................................................................................................................,9.960000038146973,1,0,1.0,0.257,0,0.0,136,0,0,171.14013671875,1,Body
............................................................................,9.960000038146973,1,0,1.0,0.528,1,0.0,76,0,0,188.6597900390625,1,Body
...............................................................,9.960000038146973,1,0,1.0,0.586,0,0.0,63,0,0,206.179443359375,1,Body
.....................................................................................................................,9.960000038146973,0,0,1.0,0.32,0,0.0,117,0,0,223.818603515625,1,Body
............................................................................................................,9.960000038146973,0,0,1.0,0.362,0,0.0,108,0,0,235.34234619140625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,246.77642822265625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,258.3001708984375,1,Body
...................................................................................................,9.960000038146973,0,0,1.0,0.405,0,0.0,99,0,0,269.82391357421875,1,Body
......................................................................................................................,9.960000038146973,0,0,1.0,0.315,0,0.0,118,0,0,281.3476257324219,1,Body
.........................................,9.960000038146973,1,0,1.0,0.677,0,0.0,41,0,0,298.74774169921875,1,Body
.................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,113,0,0,316.38690185546875,1,Body
....................................................................................................................................,9.960000038146973,0,0,1.0,0.24,0,0.0,132,0,0,327.7911071777344,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.239,0,0.0,138,0,0,345.19122314453125,1,Body
.............................................................................................................................,9.960000038146973,0,0,1.0,0.273,0,0.0,125,0,0,362.83038330078125,1,Body
.......................................................................................................,9.960000038146973,0,0,1.0,0.377,0,0.0,103,0,0,374.3540954589844,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.248,0,0.0,138,0,0,153.739990234375,1,Body
........................................................................................................................................,9.960000038146973,1,0,1.0,0.257,0,0.0,136,0,0,171.14013671875,1,Body
............................................................................,9.960000038146973,1,0,1.0,0.528,1,0.0,76,0,0,188.6597900390625,1,Body
...............................................................,9.960000038146973,1,0,1.0,0.586,0,0.0,63,0,0,206.179443359375,1,Body
.....................................................................................................................,9.960000038146973,0,0,1.0,0.32,0,0.0,117,0,0,223.818603515625,1,Body
............................................................................................................,9.960000038146973,0,0,1.0,0.362,0,0.0,108,0,0,235.34234619140625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,246.77642822265625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,258.3001708984375,1,Body
...................................................................................................,9.960000038146973,0,0,1.0,0.405,0,0.0,99,0,0,269.82391357421875,1,Body
......................................................................................................................,9.960000038146973,0,0,1.0,0.315,0,0.0,118,0,0,281.3476257324219,1,Body
.........................................,9.960000038146973,1,0,1.0,0.677,0,0.0,41,0,0,298.74774169921875,1,Body
.................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,113,0,0,316.38690185546875,1,Body
....................................................................................................................................,9.960000038146973,0,0,1.0,0.24,0,0.0,132,0,0,327.7911071777344,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.239,0,0.0,138,0,0,345.19122314453125,1,Body
.............................................................................................................................,9.960000038146973,0,0,1.0,0.273,0,0.0,125,0,0,362.83038330078125,1,Body
.......................................................................................................,9.960000038146973,0,0,1.0,0.377,0,0.0,103,0,0,374.3540954589844,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.248,0,0.0,138,0,0,153.739990234375,1,Body
........................................................................................................................................,9.960000038146973,1,0,1.0,0.257,0,0.0,136,0,0,171.14013671875,1,Body
............................................................................,9.960000038146973,1,0,1.0,0.528,1,0.0,76,0,0,188.6597900390625,1,Body
...............................................................,9.960000038146973,1,0,1.0,0.586,0,0.0,63,0,0,206.179443359375,1,Body
.....................................................................................................................,9.960000038146973,0,0,1.0,0.32,0,0.0,117,0,0,223.818603515625,1,Body
............................................................................................................,9.960000038146973,0,0,1.0,0.362,0,0.0,108,0,0,235.34234619140625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,246.77642822265625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,258.3001708984375,1,Body
...................................................................................................,9.960000038146973,0,0,1.0,0.405,0,0.0,99,0,0,269.82391357421875,1,Body
......................................................................................................................,9.960000038146973,0,0,1.0,0.315,0,0.0,118,0,0,281.3476257324219,1,Body
.........................................,9.960000038146973,1,0,1.0,0.677,0,0.0,41,0,0,298.74774169921875,1,Body
.................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,113,0,0,316.38690185546875,1,Body
....................................................................................................................................,9.960000038146973,0,0,1.0,0.24,0,0.0,132,0,0,327.7911071777344,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.239,0,0.0,138,0,0,345.19122314453125,1,Body
.............................................................................................................................,9.960000038146973,0,0,1.0,0.273,0,0.0,125,0,0,362.83038330078125,1,Body
.......................................................................................................,9.960000038146973,0,0,1.0,0.377,0,0.0,103,0,0,374.3540954589844,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.248,0,0.0,138,0,0,153.739990234375,1,Body
........................................................................................................................................,9.960000038146973,1,0,1.0,0.257,0,0.0,136,0,0,171.14013671875,1,Body
............................................................................,9.960000038146973,1,0,1.0,0.528,1,0.0,76,0,0,188.6597900390625,1,Body
...............................................................,9.960000038146973,1,0,1.0,0.586,0,0.0,63,0,0,206.179443359375,1,Body
.....................................................................................................................,9.960000038146973,0,0,1.0,0.32,0,0.0,117,0,0,223.818603515625,1,Body
............................................................................................................,9.960000038146973,0,0,1.0,0.362,0,0.0,108,0,0,235.34234619140625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,246.77642822265625,1,Body
...................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,115,0,0,258.3001708984375,1,Body
...................................................................................................,9.960000038146973,0,0,1.0,0.405,0,0.0,99,0,0,269.82391357421875,1,Body
......................................................................................................................,9.960000038146973,0,0,1.0,0.315,0,0.0,118,0,0,281.3476257324219,1,Body
.........................................,9.960000038146973,1,0,1.0,0.677,0,0.0,41,0,0,298.74774169921875,1,Body
.................................................................................................................,9.960000038146973,0,0,1.0,0.329,0,0.0,113,0,0,316.38690185546875,1,Body
....................................................................................................................................,9.960000038146973,0,0,1.0,0.24,0,0.0,132,0,0,327.7911071777344,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.239,0,0.0,138,0,0,345.19122314453125,1,Body
.............................................................................................................................,9.960000038146973,0,0,1.0,0.273,0,0.0,125,0,0,362.83038330078125,1,Body
.......................................................................................................,9.960000038146973,0,0,1.0,0.377,0,0.0,103,0,0,374.3540954589844,1,Body
..........................................................................................................................................,9.960000038146973,1,0,1.0,0.248,0,0.0,138,0,0,153.739990234375,1,Body
........................................................................................................................................,9.960000038146973,1,0,1.0,0.257,0,0.0,136,0,0,171.14013671875,1,Body
............................................................................,9.960000038146973,1,0,1.0,0.528,1,0.0,76,0,0,188.6597900390625,1,Body
...............................................................,9.960000038146973,1,0,1.0,0.586,0,0.0,63,0,0,206.179443359375,1,Body
.....................................................................................................................,9.960000038146973,0,0,1.0,0.32,0,0.0,117,0,0,223.818603515625,1,Body
